chunker,method,response_F1,response_EM,span_F1,common_pool_NDCG4,any_grade2_at4,any_gold_doc_at4
fixed_128,B,0.247715453797,0,0.238022748553,0.653011541275,0.604395604396,0.896214896215
fixed_128,E,0.245100310704,0,0.237374775416,0.558275334624,0.565323565324,0.849816849817
fixed_128,H,0.237137182246,0,0.228136059898,0.588920020867,0.509157509158,0.882783882784
fixed_128,U,0.244592351619,0,0.240556312685,0.646765320311,0.600732600733,0.893772893773
fixed_254,B,0.237624077967,0.001221001221,0.226659156509,0.706972058202,0.735042735043,0.901098901099
fixed_254,E,0.237217081681,0,0.230336095926,0.619306839082,0.697191697192,0.868131868132
fixed_254,H,0.234134472846,0,0.223792414839,0.669288962409,0.695970695971,0.893772893773
fixed_254,U,0.233704397737,0,0.227292032142,0.713874808935,0.739926739927,0.912087912088
recursive_254,B,0.240297567595,0,0.234927355331,0.69201801844,0.686202686203,0.898656898657
recursive_254,E,0.230422900692,0.001221001221,0.223431677983,0.621040748939,0.659340659341,0.880341880342
recursive_254,H,0.237309351897,0,0.228380961169,0.663849708433,0.666666666667,0.908424908425
recursive_254,U,0.242171323658,0.003663003663,0.229986189439,0.683055185851,0.673992673993,0.908424908425
sentence_254,B,0.236310507236,0.001221001221,0.229796945392,0.703622062434,0.791208791209,0.892551892552
sentence_254,E,0.240363060132,0.001221001221,0.233521744498,0.648385454027,0.759462759463,0.863247863248
sentence_254,H,0.234271877617,0,0.225835576027,0.676482616049,0.758241758242,0.897435897436
sentence_254,U,0.240826881299,0.003663003663,0.234073301311,0.698420940833,0.787545787546,0.912087912088
