domain,method,response_F1,response_EM,span_F1,common_pool_NDCG4,any_grade2_at4,any_gold_doc_at4
dmv,B,0.282667069631,0,0.26095364654,0.72647744228,0.787581699346,0.934640522876
dmv,E,0.276366619625,0.0016339869281,0.257773368002,0.656164967595,0.746732026144,0.928104575163
dmv,H,0.269499313321,0,0.243864760005,0.651977430245,0.705882352941,0.926470588235
dmv,U,0.277054273057,0,0.26915272187,0.725625140344,0.789215686275,0.936274509804
ssa,B,0.208625430999,0.0021645021645,0.21541694831,0.611480144099,0.619047619048,0.800865800866
ssa,E,0.207498708804,0.00108225108225,0.213459230421,0.524916997261,0.591991341991,0.735930735931
ssa,H,0.209698102925,0,0.217133104184,0.570597650328,0.564935064935,0.801948051948
ssa,U,0.217729219553,0.00649350649351,0.218381742736,0.58641246746,0.594155844156,0.811688311688
studentaid,B,0.226591166231,0,0.208692259707,0.737227160978,0.711666666667,0.91
studentaid,E,0.224829888248,0,0.206520017641,0.675006491119,0.7,0.91
studentaid,H,0.226833363731,0,0.210358393704,0.685684381706,0.675,0.91
studentaid,U,0.22370056615,0,0.204003237289,0.75130211329,0.725,0.935
va,B,0.250980916847,0,0.243174942802,0.706059341928,0.724561403509,0.948245614035
va,E,0.249849592266,0,0.244205628008,0.624999737005,0.677192982456,0.913157894737
va,H,0.243334971403,0,0.233369743125,0.693466917383,0.697368421053,0.947368421053
va,U,0.247667731504,0,0.240635420081,0.709723017377,0.726315789474,0.952631578947
