stage,learning_rate,method,seed,total_updates,available_groups,group_draws,group_repetitions,unique_questions_exposed,recorded_session_pairs,recorded_session_unpadded_tokens,recorded_session_padded_tokens,seconds_this_session,peak_allocated_GiB
grid,5e-05,B,20260904,227,2103,908,0.431764146457,178,7196,2446535,3156940,352.118784709,2.7905163765
grid,5e-05,B,20260904,454,2103,1816,0.863528292915,189,14382,4910145,6336310,700.12746849,2.79170608521
grid,5e-05,B,20260904,681,2103,2724,1.29529243937,189,21573,7365956,9489288,1047.96043061,2.79092788696
grid,0.0001,B,20260904,227,2103,908,0.431764146457,178,7196,2446535,3156940,351.589563326,2.79088258743
grid,0.0001,B,20260904,454,2103,1816,0.863528292915,189,14382,4910145,6336310,397.235621909,2.79195642471
grid,0.0001,B,20260904,681,2103,2724,1.29529243937,189,21573,7365956,9489288,1048.93901992,2.79127931595
grid,5e-05,E,20260904,227,943,908,0.962884411453,184,7164,2414749,3112714,345.497353433,2.79100513458
grid,5e-05,E,20260904,454,943,1816,1.92576882291,187,14338,4836762,6244287,692.031975303,2.79100513458
grid,5e-05,E,20260904,681,943,2724,2.88865323436,187,21502,7247864,9360126,1040.33449237,2.7919511795
grid,0.0001,E,20260904,227,943,908,0.962884411453,184,7164,2414749,3112714,346.61219483,2.79100513458
grid,0.0001,E,20260904,454,943,1816,1.92576882291,187,14338,4836762,6244287,694.414612577,2.79100513458
grid,0.0001,E,20260904,681,943,2724,2.88865323436,187,21502,7247864,9360126,1041.31118321,2.79185914993
refit,0.0001,B,20260904,431,4019,1724,0.428962428465,357,13609,4693876,6025529,670.126442624,2.79268312454
refit,0.0001,B,20260905,431,4019,1724,0.428962428465,364,13580,4682026,6009283,670.416578268,2.79118776321
refit,0.0001,B,20260906,431,4019,1724,0.428962428465,364,13588,4695724,6018950,672.461936304,2.79120349884
refit,0.0001,E,20260904,431,1799,1724,0.958310172318,365,13581,4616501,5987529,670.187348484,2.79152345657
refit,0.0001,E,20260905,431,1799,1724,0.958310172318,369,13576,4613907,5977669,669.511319627,2.79098939896
refit,0.0001,E,20260906,431,1799,1724,0.958310172318,368,13584,4618534,5963480,669.188931987,2.79228639603
